DB_ID,reference,DOI,site_id,date,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD-CH4_value_permil,dD-CH4_uncertainty,dD-CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
177,"Campeau, A, Bishop, KH, Billett, MF, et al. (2017). Aquatic export of young dissolved and gaseous carbon from a pristine boreal fen: Implications for peat carbon stock stability. Glob Change Biol., 23: 5523- 5536. ",https://doi.org/10.1111/gcb.13815,Headwater source,2015-11-24,2015,Stream,Degerö Stormyr,CO2,-16.9,0.1,permil,,,,SUERC,65483,0.9820,0.0040,1 sd,-26,7.9,permil,142,35,5.00,64.18333333,19.55,Sweden,N,1.0235,0.9595,River,molecular sieve trap,,,B,A,2.7,2.7,small,172.1,2.486,34,230,39,12,588,119,56,0,97,0,0,0,0,0,6,26,67,153,0,19,0,45,221,12,589,119,56,0,99,0,0,0,0,0,6,26,68,155,0,18,0,60,223,6,11,8,
178,"Campeau, A, Bishop, KH, Billett, MF, et al. (2017). Aquatic export of young dissolved and gaseous carbon from a pristine boreal fen: Implications for peat carbon stock stability. Glob Change Biol., 23: 5523- 5536. ",https://doi.org/10.1111/gcb.13815,Flume,2016-01-19,2016,Stream,Degerö Stormyr,CO2,-18.1,0.1,permil,,,,SUERC,66544,0.9920,0.0050,1 sd,-16,9.9,permil,62,37,5.00,64.18333333,19.55,Sweden,N,1.0190,0.9735,River,molecular sieve trap,,,B,A,2.7,2.7,small,172.1,2.486,34,230,39,12,588,119,56,0,97,0,0,0,0,0,6,26,67,153,0,19,0,45,221,12,589,119,56,0,99,0,0,0,0,0,6,26,68,155,0,18,0,60,223,6,11,8,
179,"Campeau, A, Bishop, KH, Billett, MF, et al. (2017). Aquatic export of young dissolved and gaseous carbon from a pristine boreal fen: Implications for peat carbon stock stability. Glob Change Biol., 23: 5523- 5536. ",https://doi.org/10.1111/gcb.13815,Flume,2016-03-30,2016,Stream,Degerö Stormyr,CO2,-18.1,0.1,permil,,,,SUERC,67424,0.9940,0.0050,1 sd,-14,9.9,permil,48,37,5.00,64.18333333,19.55,Sweden,N,1.0190,0.9754,River,molecular sieve trap,,,B,A,2.7,2.7,small,172.1,2.486,34,230,39,12,588,119,56,0,97,0,0,0,0,0,6,26,67,153,0,19,0,45,221,12,589,119,56,0,99,0,0,0,0,0,6,26,68,155,0,18,0,60,223,6,11,8,
180,"Campeau, A, Bishop, KH, Billett, MF, et al. (2017). Aquatic export of young dissolved and gaseous carbon from a pristine boreal fen: Implications for peat carbon stock stability. Glob Change Biol., 23: 5523- 5536. ",https://doi.org/10.1111/gcb.13815,Headwater source,2016-06-14,2016,Stream,Degerö Stormyr,CO2,-16.5,0.1,permil,,,,SUERC,68223,0.9940,0.0050,1 sd,-14,9.9,permil,53,37,5.00,64.18333333,19.55,Sweden,N,1.0190,0.9754,River,molecular sieve trap,,,B,A,2.7,2.7,small,172.1,2.486,34,230,39,12,588,119,56,0,97,0,0,0,0,0,6,26,67,153,0,19,0,45,221,12,589,119,56,0,99,0,0,0,0,0,6,26,68,155,0,18,0,60,223,6,11,8,
181,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Upstream,2015-06-08,2015,Stream,Svartberget,CO2,-21.7,0.1,permil,,,,SUERC,61846,1.0398,0.0045,1 sd,32,8.9,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0159,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
182,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Upstream,2015-08-04,2015,Stream,Svartberget,CO2,-23.1,0.1,permil,,,,SUERC,62409,1.0372,0.0048,1 sd,29,8.9,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0134,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
183,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Upstream,2015-08-06,2015,Stream,Svartberget,CO2,-21.3,0.1,permil,,,,SUERC,62403,1.0369,0.0048,1 sd,29,9.5,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0131,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
184,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Upstream,2015-09-02,2015,Stream,Svartberget,CO2,-23.1,0.1,permil,,,,SUERC,64035,1.0440,0.0064,1 sd,36,9.5,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0200,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
185,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Upstream,2015-10-12,2015,Stream,Svartberget,CO2,-22.9,0.1,permil,,,,SUERC,64701,1.0487,0.0046,1 sd,40,12.7,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0246,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
186,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Downstream,2016-01-19,2016,Stream,Svartberget,CO2,-17.4,0.1,permil,,,,SUERC,68170,1.0550,0.0047,1 sd,47,9.1,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0190,1.0353,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
187,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Downstream,2016-03-30,2016,Stream,Svartberget,CO2,-22.9,0.1,permil,,,,SUERC,67423,1.0519,0.0048,1 sd,44,9.3,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0190,1.0323,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
188,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Downstream,2016-05-11,2016,Stream,Svartberget,CO2,-22.4,0.1,permil,,,,SUERC,67980,1.0422,0.0048,1 sd,34,9.5,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0190,1.0227,Stream,molecular sieve trap,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
189,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Stream,2015-05-05,2015,Stream,Svartberget,CO2,-20.4,0.1,permil,,,,SUERC,61387,1.0529,0.0046,1 sd,45,9.1,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0287,Stream,super headspace,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
190,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Stream,2015-08-08,2015,Stream,Svartberget,CO2,-22.8,0.1,permil,,,,SUERC,64025,1.0258,0.0047,1 sd,17,9.3,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0023,Stream,super headspace,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
191,"Campeau, A., Bishop, K., Amvrosiadi, N. et al. (2019). Current forest carbon fixation fuels stream CO2 emissions. Nat Commun, 10: 1876. ",https://doi.org/10.1038/s41467-019-09922-3,Stream,2015-10-12,2015,Stream,Svartberget,CO2,-23.5,0.1,permil,,,,SUERC,64820,1.0329,0.0047,1 sd,25,9.3,permil,modern,,,64.23333333,19.76666667,Sweden,N,1.0235,1.0092,Stream,super headspace,,,B,A,0.13,0.13,small,28.7,0.428,0,236,75,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,236,12,592,120,57,0,100,0,0,0,0,0,7,26,67,175,0,17,0,53,247,6,11,8,
192,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y1,2018-09-15,2018,Karst Mountain River,Yujiang River,DIC,-26.8,0.1,permil,,,,,,0.8480,0.0025,0.3 percent,-159,0.5,0.3 percent,1325,4,8.13,28.09023,108.7292,China,N,1.0133,0.8369,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,23.6,A,B,,20,large,19.9,0.37,0,1027,146,139,1295,127,3,0,57,19,65,2,0,0,24,39,37,24,100,5971,11,136,1027,139,1295,127,3,0,57,19,65,2,0,0,24,39,37,24,100,5971,11,136,536,1,7,5,
193,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y2,2018-09-15,2018,Karst Mountain River,Yujiang River,DIC,-25.2,0.1,permil,,,,,,0.8924,0.0027,0.3 percent,-115,0.3,0.3 percent,915,3,8.17,28.093865,108.721218,China,N,1.0133,0.8807,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,23.9,A,B,,10,small,7,0.13,0,956,134,142,1280,123,2,0,78,22,87,2,0,0,27,33,39,22,100,2618,0,135,956,142,1280,123,2,0,78,22,87,2,0,0,27,33,39,22,100,2618,0,135,403,1,6,5,545.7
194,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y3,2018-09-15,2018,Karst Mountain River,Yujiang River,DIC,-24.1,0.1,permil,,,,,,0.8180,0.0025,0.3 percent,-189,0.6,0.3 percent,1614,5,7.86,28.083264,108.707056,China,N,1.0133,0.8072,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,23,A,B,,60,large,60.5,1.102,0,1324,212,124,1346,142,7,0,67,7,63,2,0,0,20,38,43,38,100,3420,2,93,1324,124,1346,142,7,0,67,7,63,2,0,0,20,38,43,38,100,3420,2,93,774,1,6,5,
195,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y4,2018-09-16,2018,Karst Mountain River,Yujiang River,DIC,-24.9,0.1,permil,,,,,,0.8404,0.0025,0.3 percent,-167,0.5,0.3 percent,1397,4,8.19,28.085545,108.695909,China,N,1.0133,0.8293,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,20.6,A,B,,30,large,21.8,0.408,0,1007,135,139,1293,126,1,0,91,9,92,0,0,0,25,40,35,28,100,6690,0,149,1007,139,1293,126,1,0,91,9,92,0,0,0,25,40,35,28,100,6690,0,149,481,1,6,5,
196,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y5,2018-09-16,2018,Karst Mountain River,Yujiang River,DIC,-22.2,0.1,permil,,,,,,0.9029,0.0027,0.3 percent,-104,0.3,0.3 percent,820,2,7.76,28.022686,108.695619,China,N,1.0133,0.8911,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,20,A,B,,20,large,21.8,0.403,0,1232,137,129,1317,134,3,0,45,14,66,0,0,0,26,35,39,19,100,4053,3,115,1232,129,1317,134,3,0,45,14,66,0,0,0,26,35,39,19,100,4053,3,115,563,1,6,5,
197,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y8,2018-09-16,2018,Karst Mountain River,Yujiang River,DIC,-24.4,0.1,permil,,,,,,0.8450,0.0025,0.3 percent,-162,0.5,0.3 percent,1353,4,8.66,28.072775,108.597536,China,N,1.0133,0.8339,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,22.2,A,B,,250,large,371.4,6.784,0,1106,172,135,1303,130,4,0,54,11,74,1,0,0,24,37,39,25,100,7395,4,132,917,146,1254,120,1,0,55,20,72,0,0,0,25,38,37,21,100,12496,3,157,538,1,6,5,
198,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y9,2018-09-17,2018,Karst Mountain River,Yujiang River,DIC,-24.8,0.1,permil,,,,,,0.8549,0.0026,0.3 percent,-152,0.5,0.3 percent,1260,4,8.66,28.023689,108.564169,China,N,1.0133,0.8436,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,20.2,A,B,,75,large,111.5,2.018,0,1243,214,129,1311,135,7,0,59,8,36,1,0,0,21,38,41,35,100,2341,0,83,1015,142,1262,123,3,0,49,12,57,2,0,0,26,36,38,22,100,4085,0,118,667,1,6,5,
199,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y10,2018-09-17,2018,Karst Mountain River,Yujiang River,DIC,-23.4,0.1,permil,,,,,,0.8813,0.0026,0.3 percent,-126,0.4,0.3 percent,1015,3,8.90,27.993331,108.446571,China,N,1.0133,0.8697,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,23.4,A,B,,600,large,611.8,11.139,0,1082,176,137,1290,128,4,0,53,15,65,1,0,0,24,37,39,26,100,7931,3,126,835,152,1224,115,0,0,40,34,50,1,0,0,26,39,35,17,100,9165,0,146,614,1,6,6,
200,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y11,2018-09-17,2018,Karst Mountain River,Yujiang River,DIC,-24.2,0.1,permil,,,,,,0.7993,0.0024,0.3 percent,-207,0.6,0.3 percent,1800,5,8.73,28.011154,108.419137,China,N,1.0133,0.7888,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,24.5,A,B,,10,small,10,0.192,0,823,150,153,1217,114,0,0,74,33,68,9,0,0,24,40,35,18,0,33608,0,165,823,153,1217,114,0,0,74,33,68,9,0,0,24,40,35,18,0,33608,0,165,295,1,6,6,300.5
201,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y13,2018-09-17,2018,Karst Mountain River,Yujiang River,DIC,-22.1,0.1,permil,,,,,,0.9024,0.0027,0.3 percent,-105,0.3,0.3 percent,825,2,8.65,28.09714,108.361813,China,N,1.0133,0.8906,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,22,A,B,,150,large,151.5,2.961,0,863,166,150,1241,118,0,0,44,22,68,0,0,0,27,35,39,14,0,12724,1,157,864,150,1241,118,0,0,44,22,68,0,0,0,27,35,39,14,0,12725,1,157,520,1,6,6,
202,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y14,2018-09-17,2018,Karst Mountain River,Yujiang River,DIC,-25.3,0.1,permil,,,,,,0.8890,0.0027,0.3 percent,-118,0.4,0.3 percent,945,3,8.21,28.105161,108.337448,China,N,1.0133,0.8774,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,18.8,A,B,,150,large,151.5,2.961,0,863,166,150,1241,118,0,0,44,22,68,0,0,0,27,35,39,14,0,12724,1,157,864,150,1241,118,0,0,44,22,68,0,0,0,27,35,39,14,0,12725,1,157,520,1,6,6,
203,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y15,2018-09-18,2018,Karst Mountain River,Yujiang River,DIC,-27.9,0.1,permil,,,,,,0.8988,0.0027,0.3 percent,-109,0.3,0.3 percent,857,3,7.80,28.086643,108.271787,China,N,1.0133,0.8870,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,20.3,A,B,1231,1231,large,1230.1,22.996,0,950,161,145,1255,121,2,0,51,18,67,3,0,0,25,37,38,21,66,11169,4,140,435,177,1142,101,0,0,0,27,39,0,0,0,28,35,37,9,100,64571,35,163,471,1,6,6,
204,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y7?,2018-09-19,2018,Karst Mountain River,Yujiang River,DIC,-22.0,0.1,permil,,,,,,0.8968,0.0027,0.3 percent,-111,0.3,0.3 percent,875,3,8.15,28.084835,108.655128,China,N,1.0133,0.8851,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,,A,B,,100,large,106.3,1.941,0,1248,183,128,1324,136,6,0,36,7,60,1,0,0,22,36,42,28,100,5118,9,102,874,147,1257,119,1,0,72,6,91,3,0,0,24,42,35,18,100,9400,57,148,770,1,6,5,
205,"Chen, S., Zhong, J., Li, S., Ran, L., Wang, W., Xu, S., Yan, Z., and Xu, S. (2021). Multiple controls on carbon dynamics in mixed karst and non-karst mountainous rivers, Southwest China, revealed by carbon isotopes (?13C and ?14C). Science of The Total Environment,  791, 148347. ",https://doi.org/10.1016/j.scitotenv.2021.148347,y12,2018-09-18,2018,Karst Mountain River,Yujiang River,DIC,-25.1,0.1,permil,,,,,,0.9142,0.0027,0.3 percent,-93,0.3,0.3 percent,721,2,8.40,28.021985,108.337705,China,N,1.0133,0.9022,River,"Filtered through 0.45um within 24h, acidified with phosphoric acid and CO2 collected for analysis",Assumed uncertainty based on previous publications by group,,A,B,,950,large,882.2,16.236,0,987,169,143,1263,123,3,0,53,18,67,4,0,0,25,37,39,23,88,10201,5,138,761,158,1195,111,1,0,91,16,85,4,0,0,29,34,37,17,0,12422,0,139,342,1,6,6,
206,"Caraco, N., Bauer, J.E., Cole, J.J., Petsch, S. and Raymond, P. (2010), Millennial-aged organic carbon subsidies to a modern river food web. Ecology, 91: 2385-2393.",https://doi.org/10.1890/09-0330.1,A,2004/2005,2004,River,Hudson River,DIC,,,,,,,,,0.9322,0.0383,0.3 percent,-74,19.0,permil,564,330,,42.62492048,-73.75393831,USA,N,1.0690,0.8720,River,Filtered using whatman qma quartz filters,"Sampling date left ambiguous (either 2004 or 2005), 2005 used to 14c convert uncertainity ",,C,A,,15000,large,22124.2,482.932,18,393,58,64,1115,126,24,21,88,10,3,0,0,0,13,38,49,74,30,741,4,119,10,90,940,92,4,0,100,16,4,1,0,0,16,41,43,22,0,532,0,390,31,4,5,3,
207,"Caraco, N., Bauer, J.E., Cole, J.J., Petsch, S. and Raymond, P. (2010), Millennial-aged organic carbon subsidies to a modern river food web. Ecology, 91: 2385-2393.",https://doi.org/10.1890/09-0330.1,G,2004/2005,2004,River,Hudson River,DIC,,,,,,,,,0.9563,0.0282,0.3 percent,-50,14.0,permil,359,237,,42.13642098,-73.90015832,USA,N,1.0690,0.8946,River,Filtered using whatman qma quartz filters,"Sampling date left ambiguous (either 2004 or 2005), 2005 used to 14c convert uncertainity ",,C,A,,20000,large,26043.2,562.294,16,369,57,66,1105,123,23,18,89,10,3,0,0,0,13,38,48,70,31,750,4,123,33,91,1029,99,8,0,100,15,6,0,0,0,18,43,40,26,0,923,0,226,163,4,5,3,
208,"Caraco, N., Bauer, J.E., Cole, J.J., Petsch, S. and Raymond, P. (2010), Millennial-aged organic carbon subsidies to a modern river food web. Ecology, 91: 2385-2393.",https://doi.org/10.1890/09-0330.1,N,2004/2005,2004,River,Hudson River,DIC,,,,,,,,,0.9584,0.0302,0.3 percent,-48,15.0,permil,342,253,,41.48530849,-73.99259699,USA,N,1.0690,0.8965,River,Filtered using whatman qma quartz filters,"Sampling date left ambiguous (either 2004 or 2005), 2005 used to 14c convert uncertainity ",,C,A,,30000,large,31687.7,686.676,15,347,56,69,1113,123,20,18,90,10,3,0,0,0,14,39,47,67,32,787,4,136,53,100,1099,106,3,25,59,5,1,0,0,0,19,37,44,45,100,908,59,425,272,4,5,3,
209,"Caraco, N., Bauer, J.E., Cole, J.J., Petsch, S. and Raymond, P. (2010), Millennial-aged organic carbon subsidies to a modern river food web. Ecology, 91: 2385-2393.",https://doi.org/10.1890/09-0330.1,M,2004/2005,2004,River,Hudson River,DIC,,,,,,,,,0.9382,0.0383,0.3 percent,-68,19.0,permil,512,328,,42.77900562,-73.80442684,USA,N,1.0690,0.8777,River,Filtered using whatman qma quartz filters,"Sampling date left ambiguous (either 2004 or 2005), 2005 used to 14c convert uncertainity ",,C,A,,7500,large,8825,215.885,8,387,46,65,1131,128,24,15,82,15,5,0,0,0,15,40,46,62,44,1061,3,130,103,84,962,100,13,0,80,6,3,0,0,0,16,39,45,37,0,336,33,336,176,4,5,3,
